ZIP,City,State,County
40003,Bagdad,KY,Shelby
40004,Bardstown,KY,Nelson
40006,Bedford,KY,Trimble
40007,Bethlehem,KY,Henry
40008,Bloomfield,KY,Nelson
40009,Bradfordsville,KY,Marion
40010,Buckner,KY,Oldham
40011,Campbellsburg,KY,Henry
40012,Chaplin,KY,Nelson
40013,CoxsCreek,KY,Nelson
40013,Deatsville,KY,Nelson
40013,Highgrove,KY,Nelson
40013,Lenore,KY,Nelson
40013,Samuels,KY,Nelson
40014,Ballardsville,KY,Oldham
40014,Crestwood,KY,Oldham
40017,Defoe,KY,Henry
40018,Eastwood,KY,Jefferson
40019,Eminence,KY,Henry
40020,Fairfield,KY,Nelson
40022,Finchville,KY,Shelby
40023,Fisherville,KY,Jefferson
40023,Wilsonville,KY,Jefferson
40025,Glenview,KY,Jefferson
40026,Goshen,KY,Oldham
40027,HarrodsCreek,KY,Jefferson
40031,LaGrange,KY,Oldham
40032,KyStateReformatory,KY,Oldham
40032,LaGrange,KY,Oldham
40033,Calvary,KY,Marion
40033,Lebanon,KY,Marion
40036,Lockport,KY,Henry
40037,Loretto,KY,Marion
40040,Mackville,KY,Washington
40041,MasonicHome,KY,Jefferson
40045,Locust,KY,Trimble
40045,Milton,KY,Trimble
40046,MountEden,KY,Spencer
40047,MountWashington,KY,Bullitt
40048,Nazareth,KY,Nelson
40049,Nerinx,KY,Marion
40050,NewCastle,KY,Henry
40051,Howardstown,KY,Nelson
40051,NewHaven,KY,Nelson
40051,Trappist,KY,Nelson
40052,NewHope,KY,Nelson
40055,Pendleton,KY,Henry
40056,PeweeValley,KY,Oldham
40057,Cropper,KY,Henry
40057,Franklinton,KY,Henry
40057,Pleasureville,KY,Henry
40058,PortRoyal,KY,Henry
40059,Prospect,KY,Jefferson
40060,Raywick,KY,Marion
40061,SaintCatharine,KY,Washington
40061,StCatharine,KY,Washington
40062,SaintFrancis,KY,Marion
40062,StFrancis,KY,Marion
40062,StMary,KY,Marion
40063,SaintMary,KY,Marion
40065,Shelbyville,KY,Shelby
40066,Shelbyville,KY,Shelby
40067,Simpsonville,KY,Shelby
40068,Smithfield,KY,Henry
40069,Maud,KY,Washington
40069,Springfield,KY,Washington
40070,Sulphur,KY,Henry
40071,Taylorsville,KY,Spencer
40075,TurnersSta,KY,Henry
40075,TurnersStation,KY,Henry
40076,Waddy,KY,Shelby
40077,Westport,KY,Oldham
40078,Willisburg,KY,Washington
40104,Battletown,KY,Meade
40104,WolfCreek,KY,Meade
40106,BigSpring,KY,Breckinridge
40106,Highplains,KY,Breckinridge
40107,Boston,KY,Nelson
40108,Brandenburg,KY,Meade
40109,Brooks,KY,Bullitt
40110,Clermont,KY,Bullitt
40111,Cloverport,KY,Breckinridge
40114,Constantine,KY,Breckinridge
40115,Custer,KY,Breckinridge
40115,Dyer,KY,Breckinridge
40117,Ekron,KY,Meade
40118,Fairdale,KY,Jefferson
40119,FallsOfRough,KY,Grayson
40119,FallsRough,KY,Grayson
40119,GlenDean,KY,Grayson
40119,Vanzant,KY,Grayson
40121,FortKnox,KY,Hardin
40140,Garfield,KY,Breckinridge
40142,Guston,KY,Meade
40143,Addison,KY,Breckinridge
40143,Axtel,KY,Breckinridge
40143,Hardinsburg,KY,Breckinridge
40143,Mooleyville,KY,Breckinridge
40143,Sample,KY,Breckinridge
40144,Harned,KY,Breckinridge
40144,LocustHill,KY,Breckinridge
40145,Hudson,KY,Breckinridge
40146,Irvington,KY,Breckinridge
40146,Lodiburg,KY,Breckinridge
40150,Belmont,KY,Bullitt
40150,Colesburg,KY,Bullitt
40150,LebanonJct,KY,Bullitt
40150,LebanonJunction,KY,Bullitt
40152,McDaniels,KY,Breckinridge
40152,Mcdaniels,KY,Breckinridge
40153,McQuady,KY,Breckinridge
40153,Mcquady,KY,Breckinridge
40155,Muldraugh,KY,Meade
40157,Payneville,KY,Meade
40159,Radcliff,KY,Hardin
40160,Radcliff,KY,Hardin
40161,Rhodelia,KY,Meade
40162,Rineyville,KY,Hardin
40164,SeRee,KY,Breckinridge
40165,BardstownJunction,KY,Bullitt
40165,PioneerVillage,KY,Bullitt
40165,Shepherdsville,KY,Bullitt
40165,Zoneton,KY,Bullitt
40170,Stephensport,KY,Breckinridge
40171,UnionStar,KY,Breckinridge
40175,Flaherty,KY,Hardin
40175,VineGrove,KY,Hardin
40176,Webster,KY,Breckinridge
40177,WestPoint,KY,Hardin
40178,Westview,KY,Breckinridge
40200,Louisville,KY,Jefferson
40201,Louisville,KY,Jefferson
40202,Louisville,KY,Jefferson
40203,Louisville,KY,Jefferson
40204,Louisville,KY,Jefferson
40205,Louisville,KY,Jefferson
40206,Louisville,KY,Jefferson
40206,SaintMatthews,KY,Jefferson
40207,Louisville,KY,Jefferson
40207,SaintMatthews,KY,Jefferson
40207,StMatthews,KY,Jefferson
40208,Louisville,KY,Jefferson
40209,Louisville,KY,Jefferson
40210,Louisville,KY,Jefferson
40211,Louisville,KY,Jefferson
40212,Louisville,KY,Jefferson
40213,Louisville,KY,Jefferson
40214,Louisville,KY,Jefferson
40215,Louisville,KY,Jefferson
40216,Louisville,KY,Jefferson
40216,Shively,KY,Jefferson
40217,Louisville,KY,Jefferson
40218,Buechel,KY,Jefferson
40218,Louisville,KY,Jefferson
40218,WestBuechel,KY,Jefferson
40219,Louisville,KY,Jefferson
40219,Okolona,KY,Jefferson
40220,Louisville,KY,Jefferson
40221,Louisville,KY,Jefferson
40221,StandifordField,KY,Jefferson
40222,Louisville,KY,Jefferson
40222,Lyndon,KY,Jefferson
40223,Anchorage,KY,Jefferson
40223,Louisville,KY,Jefferson
40224,Louisville,KY,Jefferson
40225,GeneralElectricCo,KY,Jefferson
40225,Louisville,KY,Jefferson
40228,Buechel,KY,Jefferson
40228,Highview,KY,Jefferson
40228,Louisville,KY,Jefferson
40229,Louisville,KY,Jefferson
40229,Okolona,KY,Jefferson
40231,Louisville,KY,Jefferson
40232,Louisville,KY,Jefferson
40233,Louisville,KY,Jefferson
40241,Louisville,KY,Jefferson
40241,Lyndon,KY,Jefferson
40242,Louisville,KY,Jefferson
40242,Lyndon,KY,Jefferson
40243,Louisville,KY,Jefferson
40243,Middletown,KY,Jefferson
40245,Louisville,KY,Jefferson
40250,Louisville,KY,Jefferson
40251,Louisville,KY,Jefferson
40252,Louisville,KY,Jefferson
40253,Louisville,KY,Jefferson
40255,Louisville,KY,Jefferson
40256,Louisville,KY,Jefferson
40257,Louisville,KY,Jefferson
40257,SaintMatthews,KY,Jefferson
40258,Louisville,KY,Jefferson
40258,PleasureRidgePark,KY,Jefferson
40259,Louisville,KY,Jefferson
40261,Louisville,KY,Jefferson
40266,KentuckyLotteryCorporation,KY,Jefferson
40266,Louisville,KY,Jefferson
40268,Louisville,KY,Jefferson
40268,PleasureRidgePark,KY,Jefferson
40269,Jeffersontown,KY,Jefferson
40269,Louisville,KY,Jefferson
40270,Louisville,KY,Jefferson
40272,Kosmosdale,KY,Jefferson
40272,Louisville,KY,Jefferson
40272,ValleyStation,KY,Jefferson
40280,Louisville,KY,Jefferson
40280,SoBaptistTheoSem,KY,Jefferson
40285,Louisville,KY,Jefferson
40287,KentuckyLotteryCororation,KY,Jefferson
40287,Louisville,KY,Jefferson
40289,Louisville,KY,Jefferson
40289,NationalCityBank,KY,Jefferson
40291,FernCreek,KY,Jefferson
40291,Louisville,KY,Jefferson
40292,Louisville,KY,Jefferson
40292,UnivOfLouisville,KY,Jefferson
40293,LibertyNatlBankAccts,KY,Jefferson
40293,Louisville,KY,Jefferson
40294,LibertyNatlBank,KY,Jefferson
40294,Louisville,KY,Jefferson
40295,LibertyNationalBank,KY,Jefferson
40295,Louisville,KY,Jefferson
40296,Louisville,KY,Jefferson
40296,PncBank,KY,Jefferson
40297,Louisville,KY,Jefferson
40297,PncBank,KY,Jefferson
40298,Louisville,KY,Jefferson
40299,JTown,KY,Jefferson
40299,Jeffersontown,KY,Jefferson
40299,Louisville,KY,Jefferson
40309,Bowen,KY,Powell
40310,Burgin,KY,Mercer
40311,Carlisle,KY,Nicholas
40312,ClayCity,KY,Powell
40312,Westbend,KY,Powell
40313,Clearfield,KY,Rowan
40316,Denniston,KY,Menifee
40317,Elliottville,KY,Rowan
40319,Farmers,KY,Rowan
40320,Ford,KY,Clark
40322,Frenchburg,KY,Menifee
40322,Scranton,KY,Menifee
40324,Georgetown,KY,Scott
40328,GravelSwitch,KY,Marion
40329,Haldeman,KY,Rowan
40330,Cornishville,KY,Mercer
40330,Harrodsburg,KY,Mercer
40330,Pleasanthill,KY,Mercer
40330,Shakertown,KY,Mercer
40334,Hope,KY,Montgomery
40336,Irvine,KY,Estill
40336,Jinks,KY,Estill
40336,Pryse,KY,Estill
40336,WestIrvine,KY,Estill
40337,Jeffersonville,KY,Montgomery
40339,Keene,KY,Jessamine
40340,Nicholasville,KY,Jessamine
40341,Lamero,KY,Rockcastle
40342,Lawrenceburg,KY,Anderson
40345,Mariba,KY,Menifee
40346,Means,KY,Menifee
40347,Midway,KY,Woodford
40348,Millersburg,KY,Bourbon
40350,Moorefield,KY,Nicholas
40351,Morehead,KY,Rowan
40353,MountSterling,KY,Montgomery
40355,NewLiberty,KY,Owen
40356,Nicholasville,KY,Jessamine
40357,NorthMiddletown,KY,Bourbon
40358,Olympia,KY,Bath
40359,Gratz,KY,Owen
40359,Monterey,KY,Owen
40359,Owenton,KY,Owen
40359,Wheatley,KY,Owen
40360,Owingsville,KY,Bath
40361,Clintonville,KY,Bourbon
40361,Paris,KY,Bourbon
40362,Paris,KY,Bourbon
